,dteday,season,yr,mnth,holiday,weekday,workingday,cnt
60,2011-03-02,1,0,3,0,3,1,2134
61,2011-03-03,1,0,3,0,4,1,1685
62,2011-03-04,1,0,3,0,5,1,1944
63,2011-03-05,1,0,3,0,6,0,2077
64,2011-03-06,1,0,3,0,0,0,605
65,2011-03-07,1,0,3,0,1,1,1872
66,2011-03-08,1,0,3,0,2,1,2133
67,2011-03-09,1,0,3,0,3,1,1891
68,2011-03-10,1,0,3,0,4,1,623
69,2011-03-11,1,0,3,0,5,1,1977
70,2011-03-12,1,0,3,0,6,0,2132
71,2011-03-13,1,0,3,0,0,0,2417
72,2011-03-14,1,0,3,0,1,1,2046
73,2011-03-15,1,0,3,0,2,1,2056
74,2011-03-16,1,0,3,0,3,1,2192
75,2011-03-17,1,0,3,0,4,1,2744
76,2011-03-18,1,0,3,0,5,1,3239
77,2011-03-19,1,0,3,0,6,0,3117
78,2011-03-20,1,0,3,0,0,0,2471
79,2011-03-21,2,0,3,0,1,1,2077
80,2011-03-22,2,0,3,0,2,1,2703
81,2011-03-23,2,0,3,0,3,1,2121
82,2011-03-24,2,0,3,0,4,1,1865
83,2011-03-25,2,0,3,0,5,1,2210
84,2011-03-26,2,0,3,0,6,0,2496
85,2011-03-27,2,0,3,0,0,0,1693
86,2011-03-28,2,0,3,0,1,1,2028
87,2011-03-29,2,0,3,0,2,1,2425
88,2011-03-30,2,0,3,0,3,1,1536
89,2011-03-31,2,0,3,0,4,1,1685
90,2011-04-01,2,0,4,0,5,1,2227
91,2011-04-02,2,0,4,0,6,0,2252
92,2011-04-03,2,0,4,0,0,0,3249
93,2011-04-04,2,0,4,0,1,1,3115
94,2011-04-05,2,0,4,0,2,1,1795
95,2011-04-06,2,0,4,0,3,1,2808
96,2011-04-07,2,0,4,0,4,1,3141
97,2011-04-08,2,0,4,0,5,1,1471
98,2011-04-09,2,0,4,0,6,0,2455
99,2011-04-10,2,0,4,0,0,0,2895
100,2011-04-11,2,0,4,0,1,1,3348
101,2011-04-12,2,0,4,0,2,1,2034
102,2011-04-13,2,0,4,0,3,1,2162
103,2011-04-14,2,0,4,0,4,1,3267
104,2011-04-15,2,0,4,1,5,0,3126
105,2011-04-16,2,0,4,0,6,0,795
106,2011-04-17,2,0,4,0,0,0,3744
107,2011-04-18,2,0,4,0,1,1,3429
108,2011-04-19,2,0,4,0,2,1,3204
109,2011-04-20,2,0,4,0,3,1,3944
110,2011-04-21,2,0,4,0,4,1,4189
111,2011-04-22,2,0,4,0,5,1,1683
112,2011-04-23,2,0,4,0,6,0,4036
113,2011-04-24,2,0,4,0,0,0,4191
114,2011-04-25,2,0,4,0,1,1,4073
115,2011-04-26,2,0,4,0,2,1,4400
116,2011-04-27,2,0,4,0,3,1,3872
117,2011-04-28,2,0,4,0,4,1,4058
118,2011-04-29,2,0,4,0,5,1,4595
119,2011-04-30,2,0,4,0,6,0,5312
120,2011-05-01,2,0,5,0,0,0,3351
121,2011-05-02,2,0,5,0,1,1,4401
122,2011-05-03,2,0,5,0,2,1,4451
123,2011-05-04,2,0,5,0,3,1,2633
124,2011-05-05,2,0,5,0,4,1,4433
125,2011-05-06,2,0,5,0,5,1,4608
126,2011-05-07,2,0,5,0,6,0,4714
127,2011-05-08,2,0,5,0,0,0,4333
128,2011-05-09,2,0,5,0,1,1,4362
129,2011-05-10,2,0,5,0,2,1,4803
130,2011-05-11,2,0,5,0,3,1,4182
131,2011-05-12,2,0,5,0,4,1,4864
132,2011-05-13,2,0,5,0,5,1,4105
133,2011-05-14,2,0,5,0,6,0,3409
134,2011-05-15,2,0,5,0,0,0,4553
135,2011-05-16,2,0,5,0,1,1,3958
136,2011-05-17,2,0,5,0,2,1,4123
137,2011-05-18,2,0,5,0,3,1,3855
138,2011-05-19,2,0,5,0,4,1,4575
139,2011-05-20,2,0,5,0,5,1,4917
140,2011-05-21,2,0,5,0,6,0,5805
141,2011-05-22,2,0,5,0,0,0,4660
142,2011-05-23,2,0,5,0,1,1,4274
143,2011-05-24,2,0,5,0,2,1,4492
144,2011-05-25,2,0,5,0,3,1,4978
145,2011-05-26,2,0,5,0,4,1,4677
146,2011-05-27,2,0,5,0,5,1,4679
147,2011-05-28,2,0,5,0,6,0,4758
148,2011-05-29,2,0,5,0,0,0,4788
149,2011-05-30,2,0,5,1,1,0,4098
150,2011-05-31,2,0,5,0,2,1,3982
151,2011-06-01,2,0,6,0,3,1,3974
152,2011-06-02,2,0,6,0,4,1,4968
153,2011-06-03,2,0,6,0,5,1,5312
154,2011-06-04,2,0,6,0,6,0,5342
155,2011-06-05,2,0,6,0,0,0,4906
156,2011-06-06,2,0,6,0,1,1,4548
157,2011-06-07,2,0,6,0,2,1,4833
158,2011-06-08,2,0,6,0,3,1,4401
159,2011-06-09,2,0,6,0,4,1,3915
160,2011-06-10,2,0,6,0,5,1,4586
161,2011-06-11,2,0,6,0,6,0,4966
162,2011-06-12,2,0,6,0,0,0,4460
163,2011-06-13,2,0,6,0,1,1,5020
164,2011-06-14,2,0,6,0,2,1,4891
165,2011-06-15,2,0,6,0,3,1,5180
166,2011-06-16,2,0,6,0,4,1,3767
167,2011-06-17,2,0,6,0,5,1,4844
168,2011-06-18,2,0,6,0,6,0,5119
169,2011-06-19,2,0,6,0,0,0,4744
170,2011-06-20,2,0,6,0,1,1,4010
171,2011-06-21,3,0,6,0,2,1,4835
172,2011-06-22,3,0,6,0,3,1,4507
173,2011-06-23,3,0,6,0,4,1,4790
174,2011-06-24,3,0,6,0,5,1,4991
175,2011-06-25,3,0,6,0,6,0,5202
176,2011-06-26,3,0,6,0,0,0,5305
177,2011-06-27,3,0,6,0,1,1,4708
178,2011-06-28,3,0,6,0,2,1,4648
179,2011-06-29,3,0,6,0,3,1,5225
180,2011-06-30,3,0,6,0,4,1,5515
181,2011-07-01,3,0,7,0,5,1,5362
182,2011-07-02,3,0,7,0,6,0,5119
183,2011-07-03,3,0,7,0,0,0,4649
184,2011-07-04,3,0,7,1,1,0,6043
185,2011-07-05,3,0,7,0,2,1,4665
186,2011-07-06,3,0,7,0,3,1,4629
187,2011-07-07,3,0,7,0,4,1,4592
188,2011-07-08,3,0,7,0,5,1,4040
189,2011-07-09,3,0,7,0,6,0,5336
190,2011-07-10,3,0,7,0,0,0,4881
191,2011-07-11,3,0,7,0,1,1,4086
192,2011-07-12,3,0,7,0,2,1,4258
193,2011-07-13,3,0,7,0,3,1,4342
194,2011-07-14,3,0,7,0,4,1,5084
195,2011-07-15,3,0,7,0,5,1,5538
196,2011-07-16,3,0,7,0,6,0,5923
197,2011-07-17,3,0,7,0,0,0,5302
198,2011-07-18,3,0,7,0,1,1,4458
199,2011-07-19,3,0,7,0,2,1,4541
200,2011-07-20,3,0,7,0,3,1,4332
201,2011-07-21,3,0,7,0,4,1,3784
202,2011-07-22,3,0,7,0,5,1,3387
203,2011-07-23,3,0,7,0,6,0,3285
204,2011-07-24,3,0,7,0,0,0,3606
205,2011-07-25,3,0,7,0,1,1,3840
206,2011-07-26,3,0,7,0,2,1,4590
207,2011-07-27,3,0,7,0,3,1,4656
208,2011-07-28,3,0,7,0,4,1,4390
209,2011-07-29,3,0,7,0,5,1,3846
210,2011-07-30,3,0,7,0,6,0,4475
211,2011-07-31,3,0,7,0,0,0,4302
212,2011-08-01,3,0,8,0,1,1,4266
213,2011-08-02,3,0,8,0,2,1,4845
214,2011-08-03,3,0,8,0,3,1,3574
215,2011-08-04,3,0,8,0,4,1,4576
216,2011-08-05,3,0,8,0,5,1,4866
217,2011-08-06,3,0,8,0,6,0,4294
218,2011-08-07,3,0,8,0,0,0,3785
219,2011-08-08,3,0,8,0,1,1,4326
220,2011-08-09,3,0,8,0,2,1,4602
221,2011-08-10,3,0,8,0,3,1,4780
222,2011-08-11,3,0,8,0,4,1,4792
223,2011-08-12,3,0,8,0,5,1,4905
224,2011-08-13,3,0,8,0,6,0,4150
225,2011-08-14,3,0,8,0,0,0,3820
226,2011-08-15,3,0,8,0,1,1,4338
227,2011-08-16,3,0,8,0,2,1,4725
228,2011-08-17,3,0,8,0,3,1,4694
229,2011-08-18,3,0,8,0,4,1,3805
230,2011-08-19,3,0,8,0,5,1,4153
231,2011-08-20,3,0,8,0,6,0,5191
232,2011-08-21,3,0,8,0,0,0,3873
233,2011-08-22,3,0,8,0,1,1,4758
234,2011-08-23,3,0,8,0,2,1,5895
235,2011-08-24,3,0,8,0,3,1,5130
236,2011-08-25,3,0,8,0,4,1,3542
237,2011-08-26,3,0,8,0,5,1,4661
238,2011-08-27,3,0,8,0,6,0,1115
239,2011-08-28,3,0,8,0,0,0,4334
240,2011-08-29,3,0,8,0,1,1,4634
241,2011-08-30,3,0,8,0,2,1,5204
242,2011-08-31,3,0,8,0,3,1,5058
243,2011-09-01,3,0,9,0,4,1,5115
244,2011-09-02,3,0,9,0,5,1,4727
245,2011-09-03,3,0,9,0,6,0,4484
246,2011-09-04,3,0,9,0,0,0,4940
247,2011-09-05,3,0,9,1,1,0,3351
248,2011-09-06,3,0,9,0,2,1,2710
249,2011-09-07,3,0,9,0,3,1,1996
250,2011-09-08,3,0,9,0,4,1,1842
251,2011-09-09,3,0,9,0,5,1,3544
252,2011-09-10,3,0,9,0,6,0,5345
253,2011-09-11,3,0,9,0,0,0,5046
254,2011-09-12,3,0,9,0,1,1,4713
255,2011-09-13,3,0,9,0,2,1,4763
256,2011-09-14,3,0,9,0,3,1,4785
257,2011-09-15,3,0,9,0,4,1,3659
258,2011-09-16,3,0,9,0,5,1,4760
259,2011-09-17,3,0,9,0,6,0,4511
260,2011-09-18,3,0,9,0,0,0,4274
261,2011-09-19,3,0,9,0,1,1,4539
262,2011-09-20,3,0,9,0,2,1,3641
263,2011-09-21,3,0,9,0,3,1,4352
264,2011-09-22,3,0,9,0,4,1,4795
265,2011-09-23,4,0,9,0,5,1,2395
266,2011-09-24,4,0,9,0,6,0,5423
267,2011-09-25,4,0,9,0,0,0,5010
268,2011-09-26,4,0,9,0,1,1,4630
269,2011-09-27,4,0,9,0,2,1,4120
270,2011-09-28,4,0,9,0,3,1,3907
271,2011-09-29,4,0,9,0,4,1,4839
272,2011-09-30,4,0,9,0,5,1,5202
273,2011-10-01,4,0,10,0,6,0,2429
274,2011-10-02,4,0,10,0,0,0,2918
275,2011-10-03,4,0,10,0,1,1,3570
276,2011-10-04,4,0,10,0,2,1,4456
277,2011-10-05,4,0,10,0,3,1,4826
278,2011-10-06,4,0,10,0,4,1,4765
279,2011-10-07,4,0,10,0,5,1,4985
280,2011-10-08,4,0,10,0,6,0,5409
281,2011-10-09,4,0,10,0,0,0,5511
282,2011-10-10,4,0,10,1,1,0,5117
283,2011-10-11,4,0,10,0,2,1,4563
284,2011-10-12,4,0,10,0,3,1,2416
285,2011-10-13,4,0,10,0,4,1,2913
286,2011-10-14,4,0,10,0,5,1,3644
287,2011-10-15,4,0,10,0,6,0,5217
288,2011-10-16,4,0,10,0,0,0,5041
289,2011-10-17,4,0,10,0,1,1,4570
290,2011-10-18,4,0,10,0,2,1,4748
291,2011-10-19,4,0,10,0,3,1,2424
292,2011-10-20,4,0,10,0,4,1,4195
293,2011-10-21,4,0,10,0,5,1,4304
294,2011-10-22,4,0,10,0,6,0,4308
295,2011-10-23,4,0,10,0,0,0,4381
296,2011-10-24,4,0,10,0,1,1,4187
297,2011-10-25,4,0,10,0,2,1,4687
298,2011-10-26,4,0,10,0,3,1,3894
299,2011-10-27,4,0,10,0,4,1,2659
300,2011-10-28,4,0,10,0,5,1,3747
301,2011-10-29,4,0,10,0,6,0,627
302,2011-10-30,4,0,10,0,0,0,3331
303,2011-10-31,4,0,10,0,1,1,3669
304,2011-11-01,4,0,11,0,2,1,4068
305,2011-11-02,4,0,11,0,3,1,4186
306,2011-11-03,4,0,11,0,4,1,3974
307,2011-11-04,4,0,11,0,5,1,4046
308,2011-11-05,4,0,11,0,6,0,3926
309,2011-11-06,4,0,11,0,0,0,3649
310,2011-11-07,4,0,11,0,1,1,4035
311,2011-11-08,4,0,11,0,2,1,4205
312,2011-11-09,4,0,11,0,3,1,4109
313,2011-11-10,4,0,11,0,4,1,2933
314,2011-11-11,4,0,11,1,5,0,3368
315,2011-11-12,4,0,11,0,6,0,4067
316,2011-11-13,4,0,11,0,0,0,3717
317,2011-11-14,4,0,11,0,1,1,4486
318,2011-11-15,4,0,11,0,2,1,4195
319,2011-11-16,4,0,11,0,3,1,1817
320,2011-11-17,4,0,11,0,4,1,3053
321,2011-11-18,4,0,11,0,5,1,3392
322,2011-11-19,4,0,11,0,6,0,3663
323,2011-11-20,4,0,11,0,0,0,3520
324,2011-11-21,4,0,11,0,1,1,2765
325,2011-11-22,4,0,11,0,2,1,1607
326,2011-11-23,4,0,11,0,3,1,2566
327,2011-11-24,4,0,11,1,4,0,1495
328,2011-11-25,4,0,11,0,5,1,2792
329,2011-11-26,4,0,11,0,6,0,3068
330,2011-11-27,4,0,11,0,0,0,3071
331,2011-11-28,4,0,11,0,1,1,3867
332,2011-11-29,4,0,11,0,2,1,2914
333,2011-11-30,4,0,11,0,3,1,3613
334,2011-12-01,4,0,12,0,4,1,3727
335,2011-12-02,4,0,12,0,5,1,3940
336,2011-12-03,4,0,12,0,6,0,3614
337,2011-12-04,4,0,12,0,0,0,3485
338,2011-12-05,4,0,12,0,1,1,3811
339,2011-12-06,4,0,12,0,2,1,2594
340,2011-12-07,4,0,12,0,3,1,705
341,2011-12-08,4,0,12,0,4,1,3322
342,2011-12-09,4,0,12,0,5,1,3620
343,2011-12-10,4,0,12,0,6,0,3190
344,2011-12-11,4,0,12,0,0,0,2743
345,2011-12-12,4,0,12,0,1,1,3310
346,2011-12-13,4,0,12,0,2,1,3523
347,2011-12-14,4,0,12,0,3,1,3740
348,2011-12-15,4,0,12,0,4,1,3709
349,2011-12-16,4,0,12,0,5,1,3577
350,2011-12-17,4,0,12,0,6,0,2739
351,2011-12-18,4,0,12,0,0,0,2431
352,2011-12-19,4,0,12,0,1,1,3403
353,2011-12-20,4,0,12,0,2,1,3750
354,2011-12-21,1,0,12,0,3,1,2660
355,2011-12-22,1,0,12,0,4,1,3068
356,2011-12-23,1,0,12,0,5,1,2209
357,2011-12-24,1,0,12,0,6,0,1011
358,2011-12-25,1,0,12,0,0,0,754
359,2011-12-26,1,0,12,1,1,0,1317
360,2011-12-27,1,0,12,0,2,1,1162
361,2011-12-28,1,0,12,0,3,1,2302
362,2011-12-29,1,0,12,0,4,1,2423
363,2011-12-30,1,0,12,0,5,1,2999
364,2011-12-31,1,0,12,0,6,0,2485
365,2012-01-01,1,1,1,0,0,0,2294
366,2012-01-02,1,1,1,1,1,0,1951
367,2012-01-03,1,1,1,0,2,1,2236
368,2012-01-04,1,1,1,0,3,1,2368
369,2012-01-05,1,1,1,0,4,1,3272
370,2012-01-06,1,1,1,0,5,1,4098
371,2012-01-07,1,1,1,0,6,0,4521
372,2012-01-08,1,1,1,0,0,0,3425
373,2012-01-09,1,1,1,0,1,1,2376
374,2012-01-10,1,1,1,0,2,1,3598
375,2012-01-11,1,1,1,0,3,1,2177
376,2012-01-12,1,1,1,0,4,1,4097
377,2012-01-13,1,1,1,0,5,1,3214
378,2012-01-14,1,1,1,0,6,0,2493
379,2012-01-15,1,1,1,0,0,0,2311
380,2012-01-16,1,1,1,1,1,0,2298
381,2012-01-17,1,1,1,0,2,1,2935
382,2012-01-18,1,1,1,0,3,1,3376
383,2012-01-19,1,1,1,0,4,1,3292
384,2012-01-20,1,1,1,0,5,1,3163
385,2012-01-21,1,1,1,0,6,0,1301
386,2012-01-22,1,1,1,0,0,0,1977
387,2012-01-23,1,1,1,0,1,1,2432
388,2012-01-24,1,1,1,0,2,1,4339
389,2012-01-25,1,1,1,0,3,1,4270
390,2012-01-26,1,1,1,0,4,1,4075
391,2012-01-27,1,1,1,0,5,1,3456
392,2012-01-28,1,1,1,0,6,0,4023
393,2012-01-29,1,1,1,0,0,0,3243
394,2012-01-30,1,1,1,0,1,1,3624
395,2012-01-31,1,1,1,0,2,1,4509
396,2012-02-01,1,1,2,0,3,1,4579
397,2012-02-02,1,1,2,0,4,1,3761
398,2012-02-03,1,1,2,0,5,1,4151
399,2012-02-04,1,1,2,0,6,0,2832
400,2012-02-05,1,1,2,0,0,0,2947
401,2012-02-06,1,1,2,0,1,1,3784
402,2012-02-07,1,1,2,0,2,1,4375
403,2012-02-08,1,1,2,0,3,1,2802
404,2012-02-09,1,1,2,0,4,1,3830
405,2012-02-10,1,1,2,0,5,1,3831
406,2012-02-11,1,1,2,0,6,0,2169
407,2012-02-12,1,1,2,0,0,0,1529
408,2012-02-13,1,1,2,0,1,1,3422
409,2012-02-14,1,1,2,0,2,1,3922
410,2012-02-15,1,1,2,0,3,1,4169
411,2012-02-16,1,1,2,0,4,1,3005
412,2012-02-17,1,1,2,0,5,1,4154
413,2012-02-18,1,1,2,0,6,0,4318
414,2012-02-19,1,1,2,0,0,0,2689
415,2012-02-20,1,1,2,1,1,0,3129
416,2012-02-21,1,1,2,0,2,1,3777
417,2012-02-22,1,1,2,0,3,1,4773
418,2012-02-23,1,1,2,0,4,1,5062
419,2012-02-24,1,1,2,0,5,1,3487
420,2012-02-25,1,1,2,0,6,0,2732
421,2012-02-26,1,1,2,0,0,0,3389
422,2012-02-27,1,1,2,0,1,1,4322
423,2012-02-28,1,1,2,0,2,1,4363
424,2012-02-29,1,1,2,0,3,1,1834
425,2012-03-01,1,1,3,0,4,1,4990
426,2012-03-02,1,1,3,0,5,1,3194
427,2012-03-03,1,1,3,0,6,0,4066
428,2012-03-04,1,1,3,0,0,0,3423
429,2012-03-05,1,1,3,0,1,1,3333
430,2012-03-06,1,1,3,0,2,1,3956
431,2012-03-07,1,1,3,0,3,1,4916
432,2012-03-08,1,1,3,0,4,1,5382
433,2012-03-09,1,1,3,0,5,1,4569
434,2012-03-10,1,1,3,0,6,0,4118
435,2012-03-11,1,1,3,0,0,0,4911
436,2012-03-12,1,1,3,0,1,1,5298
437,2012-03-13,1,1,3,0,2,1,5847
438,2012-03-14,1,1,3,0,3,1,6312
439,2012-03-15,1,1,3,0,4,1,6192
440,2012-03-16,1,1,3,0,5,1,4378
441,2012-03-17,1,1,3,0,6,0,7836
442,2012-03-18,1,1,3,0,0,0,5892
443,2012-03-19,1,1,3,0,1,1,6153
444,2012-03-20,1,1,3,0,2,1,6093
445,2012-03-21,2,1,3,0,3,1,6230
446,2012-03-22,2,1,3,0,4,1,6871
447,2012-03-23,2,1,3,0,5,1,8362
448,2012-03-24,2,1,3,0,6,0,3372
449,2012-03-25,2,1,3,0,0,0,4996
450,2012-03-26,2,1,3,0,1,1,5558
451,2012-03-27,2,1,3,0,2,1,5102
452,2012-03-28,2,1,3,0,3,1,5698
453,2012-03-29,2,1,3,0,4,1,6133
454,2012-03-30,2,1,3,0,5,1,5459
455,2012-03-31,2,1,3,0,6,0,6235
456,2012-04-01,2,1,4,0,0,0,6041
457,2012-04-02,2,1,4,0,1,1,5936
458,2012-04-03,2,1,4,0,2,1,6772
459,2012-04-04,2,1,4,0,3,1,6436
460,2012-04-05,2,1,4,0,4,1,6457
461,2012-04-06,2,1,4,0,5,1,6460
462,2012-04-07,2,1,4,0,6,0,6857
463,2012-04-08,2,1,4,0,0,0,5169
464,2012-04-09,2,1,4,0,1,1,5585
465,2012-04-10,2,1,4,0,2,1,5918
466,2012-04-11,2,1,4,0,3,1,4862
467,2012-04-12,2,1,4,0,4,1,5409
468,2012-04-13,2,1,4,0,5,1,6398
469,2012-04-14,2,1,4,0,6,0,7460
470,2012-04-15,2,1,4,0,0,0,7132
471,2012-04-16,2,1,4,1,1,0,6370
472,2012-04-17,2,1,4,0,2,1,6691
473,2012-04-18,2,1,4,0,3,1,4367
474,2012-04-19,2,1,4,0,4,1,6565
475,2012-04-20,2,1,4,0,5,1,7290
476,2012-04-21,2,1,4,0,6,0,6624
477,2012-04-22,2,1,4,0,0,0,1027
478,2012-04-23,2,1,4,0,1,1,3214
479,2012-04-24,2,1,4,0,2,1,5633
480,2012-04-25,2,1,4,0,3,1,6196
481,2012-04-26,2,1,4,0,4,1,5026
482,2012-04-27,2,1,4,0,5,1,6233
483,2012-04-28,2,1,4,0,6,0,4220
484,2012-04-29,2,1,4,0,0,0,6304
485,2012-04-30,2,1,4,0,1,1,5572
486,2012-05-01,2,1,5,0,2,1,5740
487,2012-05-02,2,1,5,0,3,1,6169
488,2012-05-03,2,1,5,0,4,1,6421
489,2012-05-04,2,1,5,0,5,1,6296
490,2012-05-05,2,1,5,0,6,0,6883
491,2012-05-06,2,1,5,0,0,0,6359
492,2012-05-07,2,1,5,0,1,1,6273
493,2012-05-08,2,1,5,0,2,1,5728
494,2012-05-09,2,1,5,0,3,1,4717
495,2012-05-10,2,1,5,0,4,1,6572
496,2012-05-11,2,1,5,0,5,1,7030
497,2012-05-12,2,1,5,0,6,0,7429
498,2012-05-13,2,1,5,0,0,0,6118
499,2012-05-14,2,1,5,0,1,1,2843
500,2012-05-15,2,1,5,0,2,1,5115
501,2012-05-16,2,1,5,0,3,1,7424
502,2012-05-17,2,1,5,0,4,1,7384
503,2012-05-18,2,1,5,0,5,1,7639
504,2012-05-19,2,1,5,0,6,0,8294
505,2012-05-20,2,1,5,0,0,0,7129
506,2012-05-21,2,1,5,0,1,1,4359
507,2012-05-22,2,1,5,0,2,1,6073
508,2012-05-23,2,1,5,0,3,1,5260
509,2012-05-24,2,1,5,0,4,1,6770
510,2012-05-25,2,1,5,0,5,1,6734
511,2012-05-26,2,1,5,0,6,0,6536
512,2012-05-27,2,1,5,0,0,0,6591
513,2012-05-28,2,1,5,1,1,0,6043
514,2012-05-29,2,1,5,0,2,1,5743
515,2012-05-30,2,1,5,0,3,1,6855
516,2012-05-31,2,1,5,0,4,1,7338
517,2012-06-01,2,1,6,0,5,1,4127
518,2012-06-02,2,1,6,0,6,0,8120
519,2012-06-03,2,1,6,0,0,0,7641
520,2012-06-04,2,1,6,0,1,1,6998
521,2012-06-05,2,1,6,0,2,1,7001
522,2012-06-06,2,1,6,0,3,1,7055
523,2012-06-07,2,1,6,0,4,1,7494
524,2012-06-08,2,1,6,0,5,1,7736
525,2012-06-09,2,1,6,0,6,0,7498
526,2012-06-10,2,1,6,0,0,0,6598
527,2012-06-11,2,1,6,0,1,1,6664
528,2012-06-12,2,1,6,0,2,1,4972
529,2012-06-13,2,1,6,0,3,1,7421
530,2012-06-14,2,1,6,0,4,1,7363
531,2012-06-15,2,1,6,0,5,1,7665
532,2012-06-16,2,1,6,0,6,0,7702
533,2012-06-17,2,1,6,0,0,0,6978
534,2012-06-18,2,1,6,0,1,1,5099
535,2012-06-19,2,1,6,0,2,1,6825
536,2012-06-20,2,1,6,0,3,1,6211
537,2012-06-21,3,1,6,0,4,1,5905
538,2012-06-22,3,1,6,0,5,1,5823
539,2012-06-23,3,1,6,0,6,0,7458
540,2012-06-24,3,1,6,0,0,0,6891
541,2012-06-25,3,1,6,0,1,1,6779
542,2012-06-26,3,1,6,0,2,1,7442
543,2012-06-27,3,1,6,0,3,1,7335
544,2012-06-28,3,1,6,0,4,1,6879
545,2012-06-29,3,1,6,0,5,1,5463
546,2012-06-30,3,1,6,0,6,0,5687
547,2012-07-01,3,1,7,0,0,0,5531
548,2012-07-02,3,1,7,0,1,1,6227
549,2012-07-03,3,1,7,0,2,1,6660
550,2012-07-04,3,1,7,1,3,0,7403
551,2012-07-05,3,1,7,0,4,1,6241
552,2012-07-06,3,1,7,0,5,1,6207
553,2012-07-07,3,1,7,0,6,0,4840
554,2012-07-08,3,1,7,0,0,0,4672
555,2012-07-09,3,1,7,0,1,1,6569
556,2012-07-10,3,1,7,0,2,1,6290
557,2012-07-11,3,1,7,0,3,1,7264
558,2012-07-12,3,1,7,0,4,1,7446
559,2012-07-13,3,1,7,0,5,1,7499
560,2012-07-14,3,1,7,0,6,0,6969
561,2012-07-15,3,1,7,0,0,0,6031
562,2012-07-16,3,1,7,0,1,1,6830
563,2012-07-17,3,1,7,0,2,1,6786
564,2012-07-18,3,1,7,0,3,1,5713
565,2012-07-19,3,1,7,0,4,1,6591
566,2012-07-20,3,1,7,0,5,1,5870
567,2012-07-21,3,1,7,0,6,0,4459
568,2012-07-22,3,1,7,0,0,0,7410
569,2012-07-23,3,1,7,0,1,1,6966
570,2012-07-24,3,1,7,0,2,1,7592
571,2012-07-25,3,1,7,0,3,1,8173
572,2012-07-26,3,1,7,0,4,1,6861
573,2012-07-27,3,1,7,0,5,1,6904
574,2012-07-28,3,1,7,0,6,0,6685
575,2012-07-29,3,1,7,0,0,0,6597
576,2012-07-30,3,1,7,0,1,1,7105
577,2012-07-31,3,1,7,0,2,1,7216
578,2012-08-01,3,1,8,0,3,1,7580
579,2012-08-02,3,1,8,0,4,1,7261
580,2012-08-03,3,1,8,0,5,1,7175
