,dteday,season,yr,mnth,holiday,weekday,workingday,cnt,month
97,2011-04-08,2,0,4,0,5,1,1471,4
98,2011-04-09,2,0,4,0,6,0,2455,4
99,2011-04-10,2,0,4,0,0,0,2895,4
100,2011-04-11,2,0,4,0,1,1,3348,4
101,2011-04-12,2,0,4,0,2,1,2034,4
102,2011-04-13,2,0,4,0,3,1,2162,4
103,2011-04-14,2,0,4,0,4,1,3267,4
104,2011-04-15,2,0,4,1,5,0,3126,4
105,2011-04-16,2,0,4,0,6,0,795,4
106,2011-04-17,2,0,4,0,0,0,3744,4
107,2011-04-18,2,0,4,0,1,1,3429,4
108,2011-04-19,2,0,4,0,2,1,3204,4
109,2011-04-20,2,0,4,0,3,1,3944,4
110,2011-04-21,2,0,4,0,4,1,4189,4
111,2011-04-22,2,0,4,0,5,1,1683,4
112,2011-04-23,2,0,4,0,6,0,4036,4
113,2011-04-24,2,0,4,0,0,0,4191,4
114,2011-04-25,2,0,4,0,1,1,4073,4
115,2011-04-26,2,0,4,0,2,1,4400,4
116,2011-04-27,2,0,4,0,3,1,3872,4
117,2011-04-28,2,0,4,0,4,1,4058,4
118,2011-04-29,2,0,4,0,5,1,4595,4
119,2011-04-30,2,0,4,0,6,0,5312,4
120,2011-05-01,2,0,5,0,0,0,3351,5
121,2011-05-02,2,0,5,0,1,1,4401,5
122,2011-05-03,2,0,5,0,2,1,4451,5
123,2011-05-04,2,0,5,0,3,1,2633,5
124,2011-05-05,2,0,5,0,4,1,4433,5
125,2011-05-06,2,0,5,0,5,1,4608,5
126,2011-05-07,2,0,5,0,6,0,4714,5
127,2011-05-08,2,0,5,0,0,0,4333,5
128,2011-05-09,2,0,5,0,1,1,4362,5
129,2011-05-10,2,0,5,0,2,1,4803,5
130,2011-05-11,2,0,5,0,3,1,4182,5
131,2011-05-12,2,0,5,0,4,1,4864,5
132,2011-05-13,2,0,5,0,5,1,4105,5
133,2011-05-14,2,0,5,0,6,0,3409,5
134,2011-05-15,2,0,5,0,0,0,4553,5
135,2011-05-16,2,0,5,0,1,1,3958,5
136,2011-05-17,2,0,5,0,2,1,4123,5
137,2011-05-18,2,0,5,0,3,1,3855,5
138,2011-05-19,2,0,5,0,4,1,4575,5
139,2011-05-20,2,0,5,0,5,1,4917,5
140,2011-05-21,2,0,5,0,6,0,5805,5
141,2011-05-22,2,0,5,0,0,0,4660,5
142,2011-05-23,2,0,5,0,1,1,4274,5
143,2011-05-24,2,0,5,0,2,1,4492,5
144,2011-05-25,2,0,5,0,3,1,4978,5
145,2011-05-26,2,0,5,0,4,1,4677,5
146,2011-05-27,2,0,5,0,5,1,4679,5
147,2011-05-28,2,0,5,0,6,0,4758,5
148,2011-05-29,2,0,5,0,0,0,4788,5
149,2011-05-30,2,0,5,1,1,0,4098,5
150,2011-05-31,2,0,5,0,2,1,3982,5
151,2011-06-01,2,0,6,0,3,1,3974,6
152,2011-06-02,2,0,6,0,4,1,4968,6
153,2011-06-03,2,0,6,0,5,1,5312,6
154,2011-06-04,2,0,6,0,6,0,5342,6
155,2011-06-05,2,0,6,0,0,0,4906,6
156,2011-06-06,2,0,6,0,1,1,4548,6
157,2011-06-07,2,0,6,0,2,1,4833,6
158,2011-06-08,2,0,6,0,3,1,4401,6
159,2011-06-09,2,0,6,0,4,1,3915,6
160,2011-06-10,2,0,6,0,5,1,4586,6
161,2011-06-11,2,0,6,0,6,0,4966,6
162,2011-06-12,2,0,6,0,0,0,4460,6
163,2011-06-13,2,0,6,0,1,1,5020,6
164,2011-06-14,2,0,6,0,2,1,4891,6
165,2011-06-15,2,0,6,0,3,1,5180,6
166,2011-06-16,2,0,6,0,4,1,3767,6
167,2011-06-17,2,0,6,0,5,1,4844,6
168,2011-06-18,2,0,6,0,6,0,5119,6
169,2011-06-19,2,0,6,0,0,0,4744,6
170,2011-06-20,2,0,6,0,1,1,4010,6
171,2011-06-21,3,0,6,0,2,1,4835,6
172,2011-06-22,3,0,6,0,3,1,4507,6
173,2011-06-23,3,0,6,0,4,1,4790,6
174,2011-06-24,3,0,6,0,5,1,4991,6
175,2011-06-25,3,0,6,0,6,0,5202,6
176,2011-06-26,3,0,6,0,0,0,5305,6
177,2011-06-27,3,0,6,0,1,1,4708,6
178,2011-06-28,3,0,6,0,2,1,4648,6
179,2011-06-29,3,0,6,0,3,1,5225,6
180,2011-06-30,3,0,6,0,4,1,5515,6
181,2011-07-01,3,0,7,0,5,1,5362,7
182,2011-07-02,3,0,7,0,6,0,5119,7
183,2011-07-03,3,0,7,0,0,0,4649,7
184,2011-07-04,3,0,7,1,1,0,6043,7
185,2011-07-05,3,0,7,0,2,1,4665,7
186,2011-07-06,3,0,7,0,3,1,4629,7
187,2011-07-07,3,0,7,0,4,1,4592,7
188,2011-07-08,3,0,7,0,5,1,4040,7
189,2011-07-09,3,0,7,0,6,0,5336,7
190,2011-07-10,3,0,7,0,0,0,4881,7
191,2011-07-11,3,0,7,0,1,1,4086,7
192,2011-07-12,3,0,7,0,2,1,4258,7
193,2011-07-13,3,0,7,0,3,1,4342,7
194,2011-07-14,3,0,7,0,4,1,5084,7
195,2011-07-15,3,0,7,0,5,1,5538,7
196,2011-07-16,3,0,7,0,6,0,5923,7
197,2011-07-17,3,0,7,0,0,0,5302,7
198,2011-07-18,3,0,7,0,1,1,4458,7
199,2011-07-19,3,0,7,0,2,1,4541,7
200,2011-07-20,3,0,7,0,3,1,4332,7
201,2011-07-21,3,0,7,0,4,1,3784,7
202,2011-07-22,3,0,7,0,5,1,3387,7
203,2011-07-23,3,0,7,0,6,0,3285,7
204,2011-07-24,3,0,7,0,0,0,3606,7
205,2011-07-25,3,0,7,0,1,1,3840,7
206,2011-07-26,3,0,7,0,2,1,4590,7
207,2011-07-27,3,0,7,0,3,1,4656,7
208,2011-07-28,3,0,7,0,4,1,4390,7
209,2011-07-29,3,0,7,0,5,1,3846,7
210,2011-07-30,3,0,7,0,6,0,4475,7
211,2011-07-31,3,0,7,0,0,0,4302,7
212,2011-08-01,3,0,8,0,1,1,4266,8
213,2011-08-02,3,0,8,0,2,1,4845,8
214,2011-08-03,3,0,8,0,3,1,3574,8
215,2011-08-04,3,0,8,0,4,1,4576,8
216,2011-08-05,3,0,8,0,5,1,4866,8
217,2011-08-06,3,0,8,0,6,0,4294,8
218,2011-08-07,3,0,8,0,0,0,3785,8
219,2011-08-08,3,0,8,0,1,1,4326,8
220,2011-08-09,3,0,8,0,2,1,4602,8
221,2011-08-10,3,0,8,0,3,1,4780,8
222,2011-08-11,3,0,8,0,4,1,4792,8
223,2011-08-12,3,0,8,0,5,1,4905,8
224,2011-08-13,3,0,8,0,6,0,4150,8
225,2011-08-14,3,0,8,0,0,0,3820,8
226,2011-08-15,3,0,8,0,1,1,4338,8
227,2011-08-16,3,0,8,0,2,1,4725,8
228,2011-08-17,3,0,8,0,3,1,4694,8
229,2011-08-18,3,0,8,0,4,1,3805,8
230,2011-08-19,3,0,8,0,5,1,4153,8
231,2011-08-20,3,0,8,0,6,0,5191,8
232,2011-08-21,3,0,8,0,0,0,3873,8
233,2011-08-22,3,0,8,0,1,1,4758,8
234,2011-08-23,3,0,8,0,2,1,5895,8
235,2011-08-24,3,0,8,0,3,1,5130,8
236,2011-08-25,3,0,8,0,4,1,3542,8
237,2011-08-26,3,0,8,0,5,1,4661,8
238,2011-08-27,3,0,8,0,6,0,1115,8
239,2011-08-28,3,0,8,0,0,0,4334,8
240,2011-08-29,3,0,8,0,1,1,4634,8
241,2011-08-30,3,0,8,0,2,1,5204,8
242,2011-08-31,3,0,8,0,3,1,5058,8
243,2011-09-01,3,0,9,0,4,1,5115,9
244,2011-09-02,3,0,9,0,5,1,4727,9
245,2011-09-03,3,0,9,0,6,0,4484,9
246,2011-09-04,3,0,9,0,0,0,4940,9
247,2011-09-05,3,0,9,1,1,0,3351,9
248,2011-09-06,3,0,9,0,2,1,2710,9
249,2011-09-07,3,0,9,0,3,1,1996,9
250,2011-09-08,3,0,9,0,4,1,1842,9
251,2011-09-09,3,0,9,0,5,1,3544,9
252,2011-09-10,3,0,9,0,6,0,5345,9
253,2011-09-11,3,0,9,0,0,0,5046,9
254,2011-09-12,3,0,9,0,1,1,4713,9
255,2011-09-13,3,0,9,0,2,1,4763,9
256,2011-09-14,3,0,9,0,3,1,4785,9
257,2011-09-15,3,0,9,0,4,1,3659,9
258,2011-09-16,3,0,9,0,5,1,4760,9
259,2011-09-17,3,0,9,0,6,0,4511,9
260,2011-09-18,3,0,9,0,0,0,4274,9
261,2011-09-19,3,0,9,0,1,1,4539,9
262,2011-09-20,3,0,9,0,2,1,3641,9
263,2011-09-21,3,0,9,0,3,1,4352,9
264,2011-09-22,3,0,9,0,4,1,4795,9
265,2011-09-23,4,0,9,0,5,1,2395,9
266,2011-09-24,4,0,9,0,6,0,5423,9
267,2011-09-25,4,0,9,0,0,0,5010,9
268,2011-09-26,4,0,9,0,1,1,4630,9
269,2011-09-27,4,0,9,0,2,1,4120,9
270,2011-09-28,4,0,9,0,3,1,3907,9
271,2011-09-29,4,0,9,0,4,1,4839,9
272,2011-09-30,4,0,9,0,5,1,5202,9
273,2011-10-01,4,0,10,0,6,0,2429,10
274,2011-10-02,4,0,10,0,0,0,2918,10
275,2011-10-03,4,0,10,0,1,1,3570,10
276,2011-10-04,4,0,10,0,2,1,4456,10
277,2011-10-05,4,0,10,0,3,1,4826,10
278,2011-10-06,4,0,10,0,4,1,4765,10
279,2011-10-07,4,0,10,0,5,1,4985,10
280,2011-10-08,4,0,10,0,6,0,5409,10
281,2011-10-09,4,0,10,0,0,0,5511,10
282,2011-10-10,4,0,10,1,1,0,5117,10
283,2011-10-11,4,0,10,0,2,1,4563,10
284,2011-10-12,4,0,10,0,3,1,2416,10
285,2011-10-13,4,0,10,0,4,1,2913,10
286,2011-10-14,4,0,10,0,5,1,3644,10
287,2011-10-15,4,0,10,0,6,0,5217,10
288,2011-10-16,4,0,10,0,0,0,5041,10
289,2011-10-17,4,0,10,0,1,1,4570,10
290,2011-10-18,4,0,10,0,2,1,4748,10
291,2011-10-19,4,0,10,0,3,1,2424,10
292,2011-10-20,4,0,10,0,4,1,4195,10
293,2011-10-21,4,0,10,0,5,1,4304,10
294,2011-10-22,4,0,10,0,6,0,4308,10
295,2011-10-23,4,0,10,0,0,0,4381,10
296,2011-10-24,4,0,10,0,1,1,4187,10
297,2011-10-25,4,0,10,0,2,1,4687,10
298,2011-10-26,4,0,10,0,3,1,3894,10
299,2011-10-27,4,0,10,0,4,1,2659,10
300,2011-10-28,4,0,10,0,5,1,3747,10
301,2011-10-29,4,0,10,0,6,0,627,10
302,2011-10-30,4,0,10,0,0,0,3331,10
303,2011-10-31,4,0,10,0,1,1,3669,10
304,2011-11-01,4,0,11,0,2,1,4068,11
305,2011-11-02,4,0,11,0,3,1,4186,11
306,2011-11-03,4,0,11,0,4,1,3974,11
307,2011-11-04,4,0,11,0,5,1,4046,11
308,2011-11-05,4,0,11,0,6,0,3926,11
309,2011-11-06,4,0,11,0,0,0,3649,11
310,2011-11-07,4,0,11,0,1,1,4035,11
311,2011-11-08,4,0,11,0,2,1,4205,11
312,2011-11-09,4,0,11,0,3,1,4109,11
313,2011-11-10,4,0,11,0,4,1,2933,11
314,2011-11-11,4,0,11,1,5,0,3368,11
315,2011-11-12,4,0,11,0,6,0,4067,11
316,2011-11-13,4,0,11,0,0,0,3717,11
317,2011-11-14,4,0,11,0,1,1,4486,11
318,2011-11-15,4,0,11,0,2,1,4195,11
319,2011-11-16,4,0,11,0,3,1,1817,11
320,2011-11-17,4,0,11,0,4,1,3053,11
321,2011-11-18,4,0,11,0,5,1,3392,11
322,2011-11-19,4,0,11,0,6,0,3663,11
323,2011-11-20,4,0,11,0,0,0,3520,11
324,2011-11-21,4,0,11,0,1,1,2765,11
325,2011-11-22,4,0,11,0,2,1,1607,11
326,2011-11-23,4,0,11,0,3,1,2566,11
327,2011-11-24,4,0,11,1,4,0,1495,11
328,2011-11-25,4,0,11,0,5,1,2792,11
329,2011-11-26,4,0,11,0,6,0,3068,11
330,2011-11-27,4,0,11,0,0,0,3071,11
331,2011-11-28,4,0,11,0,1,1,3867,11
332,2011-11-29,4,0,11,0,2,1,2914,11
333,2011-11-30,4,0,11,0,3,1,3613,11
334,2011-12-01,4,0,12,0,4,1,3727,12
335,2011-12-02,4,0,12,0,5,1,3940,12
336,2011-12-03,4,0,12,0,6,0,3614,12
337,2011-12-04,4,0,12,0,0,0,3485,12
338,2011-12-05,4,0,12,0,1,1,3811,12
339,2011-12-06,4,0,12,0,2,1,2594,12
340,2011-12-07,4,0,12,0,3,1,705,12
341,2011-12-08,4,0,12,0,4,1,3322,12
342,2011-12-09,4,0,12,0,5,1,3620,12
343,2011-12-10,4,0,12,0,6,0,3190,12
344,2011-12-11,4,0,12,0,0,0,2743,12
345,2011-12-12,4,0,12,0,1,1,3310,12
346,2011-12-13,4,0,12,0,2,1,3523,12
347,2011-12-14,4,0,12,0,3,1,3740,12
348,2011-12-15,4,0,12,0,4,1,3709,12
349,2011-12-16,4,0,12,0,5,1,3577,12
350,2011-12-17,4,0,12,0,6,0,2739,12
351,2011-12-18,4,0,12,0,0,0,2431,12
352,2011-12-19,4,0,12,0,1,1,3403,12
353,2011-12-20,4,0,12,0,2,1,3750,12
354,2011-12-21,1,0,12,0,3,1,2660,12
355,2011-12-22,1,0,12,0,4,1,3068,12
356,2011-12-23,1,0,12,0,5,1,2209,12
357,2011-12-24,1,0,12,0,6,0,1011,12
358,2011-12-25,1,0,12,0,0,0,754,12
359,2011-12-26,1,0,12,1,1,0,1317,12
360,2011-12-27,1,0,12,0,2,1,1162,12
361,2011-12-28,1,0,12,0,3,1,2302,12
362,2011-12-29,1,0,12,0,4,1,2423,12
363,2011-12-30,1,0,12,0,5,1,2999,12
364,2011-12-31,1,0,12,0,6,0,2485,12
